,rent,dist,nrooms,age,size,noccup,price
43,,to center = 17,2.0,52,48,3,94400.0
44,225,17.0,2.0,52,size:46,3,92200.0
45,200,17.0,2.0,52,38,3,91150.0
46,151,17.0,2.0,50,41,3,71250.0
47,130,close to center,2.0,43,45,3,68750.0
48,71,17.0,2.0,40,53,3,93750.0
49,133,to center = 17,2.0,40,40,3,56250.0
50,69,17.0,1.0,21,34,2,85950.0
51,112,17.0,2.0,43,53,3,46900.0
52,83,17.0,2.0,41,55,3,48750.0
53,93,17.0,2.0,52,59,3,52100.0
54,120,17.0,2.0,52,61,3,
55,105,to center = 17,2.0,52,53,3,41550.0
56,112,17.0,2.0,52,49,3,
57,,17.0,2.0,52,60,3,42650.0
58,91,to center = 17,2.0,52,71,3,40150.0
59,,close to center,2.0,2,33,2,30000.0
60,254,17.0,2.0,age:52,60,3,37850.0
61,458,17.0,2.0,age:49,75,3,37500.0
62,67,to center = 17,2.0,50,62,3,43050.0
63,89,,2.0,52,66,3,38050.0
64,194,17.0,2.0,48,59 sq.m,3,36750.0
65,87,17.0,2.0,52,65,3,39200.0
66,'60',17.0,2.0,48,48,3,42200.0
67,195,17.0,2.0,52,67,3,40650.0
68,138,17.0,,52,67,3,42500.0
69,'73',17.0,2.0,46,60,3,64600.0
70,132,17.0,,26,,3,41250.0
71,54,close to center,2.0,46,43,3,
72,'131',17.0,2.0,49,74,3,5465570.0
73,37,to center = 17,,,52,3,33750.0
74,186,17.0,2.0,mid,size:44,3,68750.0
75,69,,2.0,17,35,2,88750.0
76,183,17.0,2.0,36,49,3,51049.99999999999
77,83,close to center,2.0,19,70,3,54150.0
78,-60,17.0,2.0,age:23,65,3,56250.0
79,150,17.0,2.0,38,45,3,5457502.0
80,112,17.0,2.0,17,43 sq.m,3,
81,87,17.0,2.0,52,66,3,56250.0
82,,to center = 17,2.0,52,46,3,
83,60,17.0,2.0,52,45,3,68750.0
84,135,to center = 17,2.0,35,56,3,59400.0
85,180,17.0,2.0,52,66,3,49100.0
86,73,to center = 17,2.0,40,31,2,59400.0
87,-57,17.0,2.0,10,34,2,81250.0
88,72,,2.0,10,65,3,68750.0
89,93,17.0,2.0,52,94,4,250000.49999999997
90,157,17.0,2.0,16,45,3,
91,65,17.0,2.0,52,206,5,68750.0
92,56,17.0,2.0,age:52,113,4,81250.0
93,197,17.0,2.0,27,48,3,93750.0
94,138,to center = 17,2.0,39,57,3,89600.0
95,150,17.0,2.0,36,30,2,65000.0
96,212,17.0,2.0,31,35,2,91900.0
97,150,17.0,2.0,29,45,3,62500.0
98,91,to center = 17,2.0,22,33 sq.m,2,85000.0
99,195,17.0,2.0,37,38,3,96550.0
100,186,17.0,,29,37,3,128899.99999999999
101,241,17.0,2.0,28,35,2,136700.0
102,234,17.0,2.0,age:39,35,2,118750.0
103,193,17.0,2.0,52,30,2,175000.0
104,213,to center = 17,2.0,34,31,2,167850.0
105,369,17.0,2.0,52,56,3,156700.0
106,-245,17.0,2.0,52,32,2,134250.0
107,-237,to center = 17,2.0,52,33,'2',129700.0
108,-292,17.0,2.0,52,41,3,137850.0
109,'292',17.0,2.0,28,38,3,112500.0
110,381,17.0,,52,44,three,131250.0
111,198,17.0,2.0,32,36,2,
112,226,17.0,2.0,26,29,2,127499.99999999999
113,'236',17.0,2.0,age:52,37,3,112050.0
114,260,17.0,2.0,35,32,2,121550.0
115,235,17.0,2.0,52,37,3,115799.99999999999
116,181,17.0,2.0,28,31,2,
117,,17.0,2.0,52,35,2,117050.00000000001
118,439,17.0,28.0,50,53,3,
119,396,17.0,2.0,47,46,3,173800.0
120,446,17.0,,41,size:43,3,183050.0
121,'372',17.0,2.0,37,42,3,167500.0
122,475,17.0,2.0,52,53,3,
123,,17.0,33.0,52,43,3,194750.0
124,542,to center = 17,2.0,52,50,3,195550.0
125,409,17.0,2.0,28,43,3,
126,,17.0,2.0,,44,3,
127,451,to center = 17,2.0,44,46,3,146150.0
128,566,17.0,2.0,40,50,3,205750.0
129,454,17.0,2.0,30,50,3,155750.0
130,529,17.0,2.0,34,46,3,162950.0
131,,to center = 17,2.0,18,55,3,
132,561,17.0,2.0,35,49,3,159650.0
133,'517',17.0,2.0,34,43,3,166650.0
134,615,17.0,2.0,28,49,3,167600.0
135,630,17.0,2.0,26,52,3,175600.0
136,514,17.0,2.0,29,50,3,184450.0
137,623,17.0,2.0,32,49,3,
138,-526,17.0,2.0,37,48,,183350.0
139,-474,17.0,2.0,39,51,3,181400.0
140,'477',16.0,2.0,30,49,3,241650.0
141,529,17.0,2.0,52,47,3,165700.0
142,'508',17.0,2.0,45,51,3,161750.0
143,216,,2.0,50,46,3,108349.99999999999
144,'231',17.0,2.0,age:38,40,3,116550.0
145,393,17.0,2.0,,46,3,
146,489,to center = 17,2.0,52,50,3,136850.0
147,244,17.0,2.0,52,50,3,113850.0
148,227,17.0,37.0,52,49,3,99800.0
149,340,17.0,2.0,52,47,3,
150,305,17.0,2.0,52,45,3,135050.0
151,401,17.0,2.0,52,40,3,
152,237,to center = 17,2.0,52,35,2,134750.0
153,357,close to center,2.0,52,58,3,157350.0
154,611,17.0,2.0,52,,3,195050.0
155,665,17.0,2.0,,67,3,205150.0
156,514,17.0,2.0,52,59,'3',176200.0
157,452,17.0,2.0,52,50,3,143650.0
158,563,17.0,2.0,52,50,3,174350.0
159,206,17.0,2.0,52,39,3,121900.00000000001
160,'164',17.0,2.0,old,42,3,105750.00000000001
161,,17.0,2.0,52,50,3,109200.00000000001
162,275,17.0,2.0,52,41,3,134950.0
163,241,17.0,2.0,46,37,3,
164,220,,2.0,42,34,2,112500.0
165,'160',17.0,2.0,old,38,3,125000.0
166,120,,2.0,41,52,3,85700.0
167,104,17.0,2.0,29,35,2,96900.0
168,173,17.0,2.0,27,55,3,62500.0
169,133,17.0,2.0,45,65,3,48750.0
170,198,17.0,2.0,50,76,3,62500.0
171,163,17.0,2.0,52,60,3,69400.0
172,167,17.0,2.0,36,61,3,58350.0
173,123,17.0,2.0,43,54,3,75900.0
174,-170,17.0,2.0,52,65,3,63500.0
175,161,17.0,2.0,52,65,3,64300.0
176,160,17.0,2.0,52,61,3,70300.0
177,197,17.0,2.0,47,44,3,91350.0
178,178,,2.0,52,61,3,73450.0
179,221,17.0,2.0,52,66,3,61400.0
180,189,17.0,2.0,49,44,3,
181,145,17.0,37.0,age:52,53,3,63300.0
182,142,17.0,2.0,51,49,3,63949.99999999999
183,168,17.0,2.0,50,56,3,61750.00000000001
184,179,17.0,2.0,52,61,3,55950.0
185,164,17.0,2.0,43,71,3,
186,220,17.0,2.0,52,81,4,53950.0
187,-141,17.0,2.0,age:30,77,3,68750.0
188,162,17.0,2.0,39,76,3,52750.0
189,159,17.0,2.0,47,82,4,
190,'253',to center = 17,2.0,52,78,3,58050.0
191,169,17.0,2.0,43,72,3,56100.00000000001
192,157,17.0,2.0,old,83,4,37500.0
193,'120',17.0,2.0,39,size:62,3,56250.0
194,271,close to center,2.0,52,75,3,62500.0
195,126,close to center,2.0,20,50,,57499.99999999999
196,123,17.0,2.0,52,76,3,47500.0
197,194,17.0,2.0,52,67,3,48200.0
198,,,2.0,age:52,67,3,36000.0
199,198,17.0,2.0,52,66,3,35650.0
200,226,17.0,2.0,,94,four,40400.0
201,'111',17.0,2.0,50,64,3,64400.0
202,145,close to center,2.0,43,69,3,56250.0
203,111,17.0,2.0,old,80,3,59700.0
204,120,17.0,2.0,44,75 sq.m,3,59050.0
205,152,17.0,2.0,,87,4,61250.00000000001
206,171,17.0,2.0,49,79,3,53150.0
207,161,17.0,2.0,37,62,3,66250.0
208,'121',17.0,,30,61,3,61350.00000000001
209,99,17.0,2.0,40,62,3,56650.0
210,,to center = 17,2.0,44,71,3,5085367.0
211,292,17.0,2.0,,67,3,
212,231,17.0,2.0,52,62,3,62500.0
213,195,17.0,38.0,,63,3,62350.00000000001
214,187,17.0,2.0,49,57,3,68350.0
215,209,17.0,2.0,,66,3,70850.0
216,212,17.0,2.0,29,56,3,75000.0
217,221,17.0,2.0,47,59,3,69400.0
218,212,17.0,2.0,34,59,3,5466587.0
219,-215,17.0,2.0,35,60,3,71900.0
220,230,17.0,2.0,39,48,3,78250.0
221,,,2.0,39,55,3,75500.0
222,371,17.0,2.0,43,50,3,136500.0
223,357,17.0,2.0,52,53,3,
224,-261,17.0,,52,54,3,93550.0
225,'383',close to center,2.0,41,48,3,119800.0
226,,17.0,26.0,48,41,3,114850.00000000001
227,355,17.0,2.0,48,52,3,128650.0
228,320,17.0,2.0,46,47,3,123450.0
229,223,16.0,2.0,50,51,3,89950.0
230,313,17.0,2.0,40,57,3,84800.0
231,,17.0,31.0,46,54,3,101650.0
232,'300',to center = 17,2.0,52,,3,131700.0
233,'349',16.0,2.0,45,49,3,115900.0
234,219,16.0,2.0,28,52,3,70250.0
235,'172',17.0,2.0,35,size:52,3,63000.0
236,200,17.0,2.0,age:49,71,3,
237,196,17.0,,44,56,3,67350.0
238,181,17.0,2.0,45,65,3,69700.0
239,-208,17.0,2.0,45,59,3,57699.99999999999
240,205,17.0,2.0,46,49,3,68650.0
241,'138',17.0,2.0,52,80,3,68500.0
242,199,17.0,2.0,age:52,65,3,
243,229,17.0,2.0,49,64,3,68750.0
244,179,17.0,2.0,44,75,3,
245,128,17.0,2.0,43,61,3,63400.0
246,196,17.0,2.0,47,63,3,55650.0
247,210,17.0,28.0,40,82,4,57399.99999999999
248,129,17.0,2.0,age:50,83,4,51149.99999999999
249,156,to center = 17,2.0,44,69,3,65950.0
250,186,17.0,2.0,51,79,3,59550.0
251,,16.0,2.0,52,73,3,40300.0
252,-306,16.0,2.0,52,52,3,40300.0
253,200,16.0,2.0,age:52,64,3,44400.0
254,182,16.0,2.0,49,68,3,51200.0
255,174,16.0,2.0,46,67,3,49350.0
256,169,16.0,2.0,43,61,3,50000.0
257,135,16.0,2.0,42,69,3,46150.0
258,169,16.0,2.0,39,71,3,47400.0
259,154,to center = 16,2.0,41,61,3,51000.0
260,,16.0,2.0,age:52,58,3,79200.0
261,,to center = 16,2.0,39,57,3,60800.0
262,190,16.0,2.0,50,60,3,64549.99999999999
263,217,16.0,2.0,43,64,3,60700.0
264,173,17.0,2.0,old,64 sq.m,3,51400.0
265,215,16.0,2.0,52,56,3,80000.0
266,252,16.0,2.0,52,52,3,71950.0
267,263,16.0,2.0,52,55,3,75600.0
268,-323,16.0,2.0,52,60,3,82200.0
269,241,16.0,2.0,52,54,3,78250.0
270,'290',16.0,2.0,33,245,6,112500.0
271,,to center = 16,2.0,49,48,3,87100.0
272,279,16.0,2.0,52,59,3,83450.0
273,-344,16.0,2.0,45,54 sq.m,3,81750.0
274,394,,2.0,39,45,3,126499.99999999999
275,-531,16.0,2.0,41,59,3,120350.0
276,297,16.0,2.0,46,57,3,104050.0
277,221,16.0,2.0,47,46,3,99050.0
278,200,to center = 16,2.0,50,55,3,86400.0
279,408,to center = 16,2.0,37,47,3,168350.0
280,-471,16.0,2.0,34,46,3,159100.0
281,,16.0,2.0,23,59,3,142900.0
282,530,16.0,2.0,,,3,146500.0
283,448,16.0,30.0,22,51,3,185500.0
284,276,16.0,2.0,42,49,3,78650.0
285,'215',16.0,2.0,,size:49,3,67650.0
286,256,16.0,2.0,43,size:54,3,68350.0
287,247,16.0,2.0,50,51,3,80350.0
288,'290',16.0,2.0,49,52,3,70300.0
289,-313,16.0,2.0,52,49,3,72000.0
290,328,16.0,2.0,47,53,3,80950.0
291,357,close to center,2.0,48,50,3,
292,268,to center = 16,2.0,45,51,3,88000.0
293,232,16.0,2.0,39,55,3,72900.0
294,254,to center = 16,2.0,39,57,3,70950.0
295,140,16.0,2.0,old,61,3,45350.0
296,145,16.0,2.0,41,61,3,45300.0
297,,16.0,2.0,47,51,3,53950.0
298,171,16.0,2.0,37,59,3,53500.0
299,,,2.0,38,56,3,49100.0
300,146,16.0,2.0,50,74,3,44750.0
301,292,16.0,2.0,52,55,3,
302,'138',,2.0,49,58,3,48350.0
303,-155,16.0,2.0,27,51,3,48750.0
304,210,16.0,2.0,42,66,3,
305,141,16.0,2.0,43,61,3,45600.0
306,,16.0,2.0,49,59,3,45700.0
307,'170',to center = 16,2.0,52,54,3,48100.0
308,244,to center = 16,2.0,51,54,3,60050.0
309,154,16.0,2.0,52,57,3,50000.0
310,184,to center = 16,2.0,52,59,3,47350.0
311,131,16.0,2.0,47,60,3,42850.0
312,153,16.0,2.0,41,63,3,44650.0
313,203,16.0,39.0,45,65,3,50700.0
314,90,16.0,30.0,41,66,3,36250.0
315,144,16.0,2.0,45,54,3,37050.0
316,118,16.0,2.0,36,80,3,35000.0
317,105,16.0,2.0,age:37,58,3,42300.0
318,57,16.0,2.0,38,66,3,40900.0
319,98,16.0,2.0,19,57,3,40700.0
320,-60,16.0,2.0,28,54,3,40900.0
321,146,16.0,2.0,26,65,3,42900.0
322,88,16.0,2.0,36,72,3,43550.0
323,175,16.0,2.0,age:42,62,3,
324,161,16.0,2.0,44,68,3,39850.0
325,-188,to center = 16,2.0,age:43,54,3,41700.0
326,,16.0,25.0,45,56,3,42350.0
327,217,16.0,2.0,42,66,3,40000.0
328,'188',16.0,2.0,43,60,3,38200.0
329,158,16.0,,age:44,,3,39850.0
330,184,16.0,2.0,42,71,3,41200.0
331,180,,2.0,41,72,3,48850.0
332,161,to center = 16,2.0,47,48,3,48600.0
333,185,16.0,2.0,43,56,3,50800.0
334,-161,to center = 16,,43,73,3,43250.0
335,138,16.0,2.0,35,60,3,45250.0
336,227,16.0,2.0,46,67,3,53800.0
337,168,,2.0,46,78,3,42100.0
338,,16.0,2.0,46,76,3,44450.0
339,303,16.0,2.0,45,71,3,40350.0
340,,16.0,2.0,46,64,3,
341,121,16.0,2.0,38,57,3,42550.0
342,'162',16.0,2.0,45,70,3,41000.0
343,143,16.0,2.0,36,65,3,41400.0
344,155,16.0,2.0,43,62,3,42300.0
345,128,16.0,2.0,36,79,3,41050.0
346,192,16.0,2.0,age:33,70,3,44650.0
347,'148',16.0,2.0,43,60,3,
348,,16.0,2.0,41,72,3,46150.0
349,174,16.0,29.0,44,61,3,44400.0
350,107,16.0,2.0,48,54,3,45000.0
351,188,16.0,2.0,age:45,60,3,
352,'117',16.0,2.0,38,63,3,45850.0
353,236,16.0,2.0,47,65,3,50200.0
354,138,16.0,31.0,40,56,3,47400.0
355,350,16.0,2.0,46,59,3,82150.0
356,'184',16.0,2.0,36,56,3,77750.0
357,455,16.0,2.0,39,57,3,98450.0
358,362,to center = 16,2.0,27,74,3,139550.0
359,417,16.0,32.0,34,52,3,126400.0
360,402,to center = 16,2.0,26,46,3,137700.0
361,-514,close to center,25.0,33,74,3,125000.0
362,'576',16.0,2.0,28,61,3,164900.0
363,302,16.0,2.0,36,55,3,97750.0
364,512,16.0,2.0,33,58,,127950.00000000001
365,373,16.0,2.0,30,55,3,155550.0
366,402,16.0,2.0,36,50,3,
367,375,16.0,2.0,age:41,46,3,124450.0
368,219,16.0,2.0,46,56,3,71450.0
369,291,16.0,2.0,40,67,3,63149.99999999999
370,241,16.0,2.0,44,58,3,67900.0
371,235,16.0,2.0,,60,3,65300.0
372,190,,2.0,24,59,3,53950.0
373,191,to center = 16,2.0,44,56,3,55550.0
374,263,16.0,2.0,43,63,3,61000.0
375,248,16.0,2.0,49,55,3,59000.0
376,136,16.0,2.0,40,72,3,47600.0
377,285,to center = 16,2.0,35,62,3,47150.0
378,171,16.0,2.0,34,59,3,46250.0
379,187,16.0,2.0,37,65,3,
380,-303,16.0,2.0,,56,3,54700.00000000001
381,261,16.0,2.0,46,54,3,64750.0
382,-310,16.0,23.0,52,50,3,71700.0
383,196,16.0,2.0,47,65,3,49100.0
384,151,16.0,2.0,44,57,3,51549.99999999999
385,'249',17.0,2.0,49,49,3,138400.0
386,400,17.0,2.0,52,42,3,135450.0
387,260,17.0,2.0,52,47,3,123100.00000000001
388,263,to center = 17,2.0,38,41,3,112100.0
389,235,17.0,2.0,52,43,3,114550.0
390,210,17.0,2.0,46,44,3,105800.0
391,343,17.0,2.0,15,43,3,128050.0
392,226,17.0,2.0,36,38,3,103150.00000000001
393,306,17.0,2.0,52,46,3,110650.0
394,-339,,2.0,42,42,3,103699.99999999999
395,130,17.0,2.0,37,56,3,175000.0
396,238,17.0,2.0,52,44,3,109100.0
397,'290',17.0,2.0,50,47,3,108349.99999999999
398,387,17.0,2.0,52,49,3,135300.0
399,387,17.0,2.0,52,55,3,130700.0
400,319,17.0,2.0,52,47,3,130650.0
401,379,17.0,2.0,52,45,3,116100.0
402,421,17.0,2.0,42,51,3,187700.0
403,591,,2.0,52,49,3,178650.0
404,596,17.0,2.0,52,50,3,187200.0
405,463,to center = 17,2.0,age:52,49,3,179400.0
406,520,17.0,,old,54,3,208750.0
407,662,17.0,2.0,52,54,3,215250.0
408,538,17.0,2.0,age:52,50,3,181450.0
409,756,17.0,2.0,52,54,3,198500.0
410,368,17.0,2.0,52,49,3,173400.0
411,434,17.0,2.0,52,50,3,163550.0
412,344,17.0,2.0,52,46,3,145050.0
413,406,17.0,2.0,52,48,3,146000.0
414,309,17.0,2.0,52,45,3,135450.0
415,544,17.0,2.0,52,55,3,185550.0
416,404,,2.0,52,54,3,167800.0
417,587,17.0,2.0,37,50,3,
418,,17.0,2.0,41,40,3,5826580.0
419,478,17.0,2.0,52,44,3,171100.0
420,-501,17.0,2.0,old,48,3,
421,565,,2.0,37,44,3,175000.0
422,503,17.0,2.0,42,47,3,184300.0
423,468,17.0,2.0,52,45,3,195900.0
424,434,17.0,2.0,,44,3,207649.99999999997
425,321,17.0,2.0,52,40,3,142450.0
426,265,17.0,2.0,52,37,3,143750.0
427,225,17.0,2.0,44,36,3,136450.0
428,310,17.0,2.0,52,46,3,
429,314,17.0,2.0,52,49,3,127250.0
430,293,17.0,2.0,52,45,3,117800.0
431,291,17.0,2.0,52,43,3,109200.00000000001
432,'232',17.0,2.0,48,44,3,
433,224,17.0,2.0,46,44,3,96050.0
434,266,17.0,2.0,52,45,3,89650.0
435,'110',17.0,2.0,45,110,4,93750.0
436,127,17.0,2.0,52,43,3,69400.0
437,-162,17.0,30.0,10,46,3,75000.0
438,206,17.0,2.0,50,45,3,70300.0
439,,17.0,2.0,52,42,3,
440,217,to center = 17,2.0,46,49,3,72400.0
441,'166',17.0,2.0,52,50,3,72400.0
442,'242',17.0,2.0,age:52,47,3,122750.0
443,-263,17.0,,52,44,3,100000.0
444,148,,2.0,49,37,3,86850.0
445,200,to center = 17,2.0,age:50,44,3,92800.0
446,,17.0,2.0,52,38,3,91300.0
447,225,,2.0,52,40,3,113950.0
448,190,17.0,2.0,46,39,3,110349.99999999999
449,215,to center = 17,2.0,46,38,3,106000.0
450,164,17.0,2.0,52,32,2,135700.0
451,133,17.0,2.0,30,41,3,134400.0
452,189,to center = 17,,37,38,3,138900.0
453,320,17.0,2.0,52,39,3,
454,220,close to center,2.0,52,55,3,169450.0
455,,to center = 17,2.0,52,47,3,143750.0
456,,17.0,2.0,41,44,3,192300.0
457,191,close to center,2.0,42,104,4,185700.0
458,71,17.0,,52,85,4,175000.0
459,87,17.0,2.0,52,,4,250000.49999999997
460,105,17.0,2.0,52,191,5,87500.0
461,'88',17.0,2.0,52,37,3,120849.99999999999
462,130,to center = 17,2.0,35,34,2,108349.99999999999
463,216,17.0,2.0,49,41,3,105650.0
464,205,17.0,2.0,52,42,3,105100.0
465,,17.0,2.0,52,42,3,98200.0
466,267,17.0,2.0,52,49,3,95850.0
467,170,17.0,2.0,52,40,3,91150.0
468,190,17.0,2.0,44,39,3,87500.0
469,189,17.0,,46,50,3,
470,'149',17.0,2.0,52,44,3,78450.0
471,211,close to center,2.0,52,46,3,82150.0
472,196,17.0,37.0,52,54,3,75000.0
473,146,17.0,2.0,50,49,3,
474,144,17.0,2.0,52,44,3,84950.0
475,148,17.0,2.0,49,45,'3',73700.0
476,181,17.0,2.0,52,45,3,76350.0
477,190,17.0,2.0,49,45,3,91350.0
478,-254,17.0,2.0,52,44,3,89650.0
479,192,to center = 17,2.0,52,50,3,78850.0
480,171,17.0,2.0,41,43,3,76550.0
481,195,17.0,2.0,52,37,3,125000.0
482,236,to center = 17,2.0,52,57,3,103150.00000000001
483,201,close to center,2.0,52,47,3,109400.00000000001
484,138,17.0,2.0,52,42,3,
485,122,17.0,2.0,35,38,3,
486,217,to center = 17,2.0,52,38,3,128699.99999999999
487,220,17.0,2.0,old,44,3,144750.0
488,254,17.0,2.0,52,47,3,120849.99999999999
489,228,17.0,2.0,48,73,3,244800.0
490,'531',17.0,2.0,52,51,3,223100.0
491,378,to center = 17,2.0,,49,3,228150.0
492,132,17.0,,52,40,3,
493,-588,17.0,2.0,52,49,3,250000.49999999997
494,704,17.0,2.0,52,56,3,250000.49999999997
495,403,17.0,2.0,52,45,3,188450.0
496,244,17.0,2.0,52,40,3,154800.0
497,202,17.0,2.0,52,45,3,91150.0
498,168,17.0,25.0,47,45,3,86350.0
499,142,to center = 17,38.0,50,53,3,75400.0
500,118,17.0,2.0,52,49,3,76800.0
501,-171,to center = 17,2.0,52,40,3,53150.0
502,,17.0,2.0,47,53,3,71150.0
503,217,17.0,2.0,52,43,3,59700.0
504,129,17.0,32.0,44,50,3,
505,'169',17.0,2.0,48,46,3,66450.0
506,165,17.0,2.0,age:35,50,3,66250.0
507,202,17.0,2.0,52,43,3,63449.99999999999
508,300,17.0,2.0,14,31,2,71900.0
509,590,17.0,2.0,52,53,3,250000.49999999997
510,,17.0,2.0,39,52,3,250000.49999999997
511,1012,17.0,2.0,42,61,3,
512,-916,17.0,38.0,52,57,3,250000.49999999997
513,614,17.0,2.0,52,55,3,233049.99999999997
514,928,17.0,3.0,52,63,3,250000.49999999997
515,,17.0,2.0,52,52,3,228900.00000000003
516,608,17.0,2.0,52,58,3,235800.0
517,656,17.0,2.0,52,63,3,250000.49999999997
518,461,17.0,2.0,52,57,3,199300.0
519,441,17.0,2.0,52,56,3,170350.0
520,390,close to center,2.0,52,48,3,144950.0
521,'353',17.0,2.0,52,51,3,167650.0
522,396,17.0,2.0,52,47,3,166500.0
523,198,17.0,2.0,52,44,3,120500.0
524,249,17.0,2.0,52,52,3,94800.0
525,273,17.0,2.0,52,48,3,103150.00000000001
526,226,to center = 17,2.0,52,52,3,
527,'238',17.0,2.0,52,45,3,105100.0
528,258,17.0,2.0,old,63,3,
529,323,17.0,2.0,52,55,3,98950.0
530,250,17.0,33.0,age:52,51,3,100650.0
531,219,17.0,25.0,52,46,3,95400.0
532,201,to center = 17,2.0,52,55,3,103950.00000000001
533,282,17.0,2.0,52,48,3,107650.0
534,'295',17.0,2.0,45,51,3,106450.0
535,394,17.0,2.0,13,40,3,146350.0
536,-190,to center = 17,2.0,30,86,4,137500.0
537,198,17.0,2.0,42,115,'4',100000.0
538,193,17.0,2.0,29,59,3,86700.0
539,145,17.0,2.0,42,55,three,51100.0
540,'222',17.0,2.0,52,51,3,110400.00000000001
541,281,17.0,2.0,27,40,3,121400.0
542,387,17.0,2.0,18,38,3,
543,'188',17.0,2.0,50,45,3,109500.0
544,'222',17.0,2.0,52,54,3,141050.0
545,415,17.0,2.0,52,48,3,186000.0
546,312,17.0,2.0,52,49,3,112900.0
547,-203,17.0,2.0,52,38,3,110400.00000000001
548,-249,to center = 17,2.0,52,44,3,117250.00000000001
549,245,17.0,22.0,age:52,40,3,127099.99999999999
550,358,17.0,2.0,52,,3,175900.0
551,316,17.0,2.0,52,39,3,137500.0
552,251,17.0,2.0,age:52,48,3,
553,224,17.0,2.0,52,45,3,114050.0
554,,17.0,2.0,52,,3,117000.0
555,'179',17.0,2.0,43,44,3,81250.0
556,223,17.0,2.0,43,40,3,121700.00000000001
557,382,17.0,2.0,52,49,3,136900.0
558,310,to center = 17,28.0,52,43,3,124250.0
559,260,to center = 17,30.0,52,42,3,
560,201,17.0,,,38,3,120449.99999999999
561,431,to center = 17,2.0,52,53,3,153150.0
562,297,17.0,2.0,50,49,3,120000.0
563,371,close to center,2.0,45,53,3,123550.0
564,365,to center = 17,2.0,27,38,3,143300.0
565,'230',to center = 17,2.0,52,44,3,133350.0
566,275,to center = 17,2.0,49,46,3,114900.0
567,345,17.0,2.0,52,54,3,114650.00000000001
568,,16.0,2.0,21,48,3,114199.99999999999
569,334,17.0,2.0,25,46,3,103099.99999999999
570,570,16.0,2.0,5,55,3,175350.0
571,245,17.0,2.0,31,46,3,115500.0
572,-267,17.0,2.0,52,43,3,126450.0
573,276,close to center,2.0,28,41,3,176950.0
574,'357',close to center,2.0,23,47,3,145850.0
575,-239,17.0,2.0,20,36,3,6224374.0
576,544,16.0,2.0,12,58,3,170800.0
577,-529,16.0,2.0,5,68,3,206250.0
578,347,16.0,2.0,36,56,3,124300.00000000001
579,'397',16.0,2.0,40,56,3,127450.0
580,373,to center = 16,2.0,36,55,3,120750.0
581,'411',16.0,2.0,26,59,3,147600.0
582,464,to center = 16,2.0,31,53,3,170200.0
583,421,16.0,2.0,32,58,3,137350.0
584,409,16.0,2.0,35,56,3,119300.0
585,386,16.0,2.0,35,60,3,133200.0
586,437,16.0,2.0,30,53,3,165100.0
587,348,,2.0,36,48,3,103400.0
588,'328',16.0,2.0,25,48,3,104600.0
589,279,16.0,2.0,30,51,3,97900.0
590,396,16.0,2.0,31,56,3,126750.0
591,325,16.0,2.0,age:31,53,3,120900.00000000001
592,390,16.0,2.0,27,53,3,126250.0
593,450,16.0,2.0,mid,56,3,131950.0
594,378,,2.0,38,,3,113500.0
595,361,16.0,2.0,38,55,3,110450.0
596,393,16.0,2.0,32,57,3,129650.0
597,309,16.0,2.0,39,47,3,116250.00000000001
598,345,16.0,,37,53,3,115799.99999999999
599,263,16.0,2.0,33,50,3,104700.0
