,ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
24,633896,65+,male,majority,30y+,high school,upper class,0.5006306604427161,1.0,before 2015,1.0,1.0,32765,7000.0,sedan,13,2,3,0.0
25,193110,26-39,female,majority,10-19y,university,middle class,0.5519701813636283,1.0,before 2015,1.0,0.0,10238.0,14000.0,sports car,0,0,0,0.0
26,98515,40-64,male,majority,10-19y,high school,middle class,0.6269960497386653,1.0,before 2015,0.0,0.0,10238,13000.0,sedan,1,1,0,0.0
27,165623,26-39,male,majority,10-19y,none,poverty,0.2947974807719967,1.0,before 2015,1.0,0.0,10238,15000.0,sedan,0,0,1,0.0
28,493590,26-39,male,majority,10-19y,university,middle class,0.5519504952618395,0.0,after 2015,0.0,0.0,10238,17000.0,sedan,0,0,1,0.0
29,389792,65+,male,majority,0-9y,university,upper class,0.649820471216227,1.0,after 2015,1.0,1.0,32765,9000.0,sedan,0,0,0,1.0
30,642614,40-64,male,majority,20-29y,high school,middle class,0.5218044346397632,1.0,after 2015,1.0,1.0,92101,7000.0,sedan,2,0,1,0.0
31,951465,65+,female,majority,30y+,university,upper class,0.7012683240604196,1.0,before 2015,1.0,1.0,10238,10000.0,sedan,3,1,1,0.0
32,496987,16-25,male,majority,0-9y,none,poverty,0.1712440288213211,1.0,before 2015,1.0,1.0,10238,9000.0,sedan,0,0,0,0.0
33,732437,16-25,male,majority,0-9y,none,poverty,0.3184419972124171,1.0,before 2015,0.0,1.0,32765,10000.0,sedan,0,0,0,1.0
34,146897,26-39,female,majority,0-9y,high school,middle class,0.6046842696715551,1.0,before 2015,1.0,1.0,21217,11000.0,sedan,0,0,0,1.0
35,316173,16-25,male,majority,0-9y,university,working class,0.5049948526440377,0.0,after 2015,0.0,0.0,32765,8000.0,sedan,0,0,0,1.0
36,9013,26-39,male,majority,10-19y,high school,working class,0.6251466352816216,1.0,before 2015,0.0,1.0,10238,17000.0,sedan,3,0,2,0.0
37,511757,40-64,female,majority,10-19y,none,middle class,,1.0,before 2015,1.0,1.0,10238,11000.0,sedan,2,0,1,0.0
38,429947,65+,male,majority,30y+,university,upper class,,0.0,after 2015,0.0,1.0,10238,12000.0,sports car,6,0,5,0.0
39,485660,40-64,male,majority,10-19y,university,upper class,0.5781305873212035,1.0,before 2015,0.0,1.0,92101.0,14000.0,sedan,1,0,1,0.0
40,80496,65+,male,majority,30y+,high school,upper class,0.7054542902137054,1.0,before 2015,1.0,1.0,10238,10000.0,sedan,5,1,3,0.0
41,478336,40-64,male,majority,20-29y,university,upper class,0.6595254905875941,1.0,after 2015,0.0,1.0,10238,16000.0,sedan,4,0,2,0.0
42,10843,40-64,male,majority,20-29y,university,upper class,0.5873836120460223,0.0,after 2015,1.0,1.0,32765,9000.0,sedan,10,2,0,0.0
43,397446,16-25,male,majority,0-9y,none,poverty,0.4064824253974476,0.0,before 2015,0.0,0.0,10238,16000.0,sedan,0,0,0,1.0
44,101678,26-39,female,majority,10-19y,high school,poverty,0.2857471319596469,0.0,before 2015,0.0,1.0,10238,13000.0,sedan,1,0,0,1.0
45,231661,40-64,male,majority,20-29y,high school,middle class,0.5022849652731057,0.0,before 2015,0.0,0.0,10238,14000.0,sports car,3,0,4,0.0
46,173782,65+,male,majority,20-29y,high school,upper class,0.6256257210210231,1.0,after 2015,1.0,1.0,10238.0,7000.0,sedan,7,0,5,0.0
47,921097,40-64,female,majority,20-29y,university,upper class,,1.0,after 2015,1.0,1.0,92101,11000.0,sedan,3,0,2,0.0
48,98839,26-39,female,minority,10-19y,university,working class,0.3931531299744003,1.0,before 2015,0.0,1.0,32765,12000.0,sedan,1,0,0,0.0
49,105372,26-39,female,minority,10-19y,none,working class,0.5039497598168121,0.0,before 2015,0.0,1.0,10238,14000.0,sedan,1,0,0,0.0
50,888828,40-64,male,majority,20-29y,university,upper class,0.6586274302571438,1.0,before 2015,1.0,0.0,10238.0,14000.0,sedan,3,0,2,0.0
51,37454,26-39,female,majority,0-9y,high school,working class,0.5241464657501199,0.0,before 2015,0.0,0.0,10238,17000.0,sedan,0,0,0,1.0
52,370044,65+,male,majority,20-29y,university,upper class,0.5531007570628673,0.0,after 2015,1.0,1.0,32765,7000.0,sedan,9,0,1,0.0
53,768282,16-25,female,majority,0-9y,university,working class,0.4475509489142775,0.0,before 2015,1.0,1.0,10238,8000.0,sedan,0,0,,1.0
54,738729,16-25,female,majority,0-9y,none,working class,0.5107331365064207,1.0,before 2015,1.0,1.0,10238,7000.0,sedan,0,0,0,1.0
55,437535,26-39,female,majority,10-19y,high school,middle class,,1.0,after 2015,1.0,0.0,10238.0,15000.0,sedan,0,0,0,0.0
56,329536,16-25,female,majority,0-9y,high school,poverty,0.4613735917269193,0.0,before 2015,0.0,0.0,32765,9000.0,sedan,0,0,0,1.0
57,328531,40-64,female,majority,,university,middle class,0.3875569443647317,0.0,after 2015,0.0,1.0,32765,12000.0,sedan,2,0,1,0.0
58,123941,40-64,female,majority,20-29y,university,middle class,0.5701572256616224,1.0,after 2015,1.0,1.0,10238,,sedan,0,0,0,0.0
59,131881,26-39,male,majority,10-19y,university,working class,0.5501250875743224,1.0,before 2015,0.0,0.0,10238,16000.0,sedan,0,1,0,0.0
60,839572,40-64,male,majority,20-29y,high school,working class,0.4529442316093683,none,before 2015,1.0,1.0,10238,12000.0,sedan,3,0,1,0.0
61,171578,26-39,male,majority,10-19y,university,upper class,,1.0,before 2015,1.0,1.0,10238,8000.0,sedan,2,0,1,0.0
62,589757,40-64,female,majority,20-29y,high school,upper class,0.5352743096602144,1.0,before 2015,1.0,1.0,92101,7000.0,sedan,2,0,0,0.0
63,336859,16-25,female,majority,0-9y,university,middle class,0.6147359485632915,1.0,before 2015,0.0,1.0,10238,15000.0,sedan,0,0,0,1.0
64,788111,40-64,female,minority,20-29y,high school,poverty,0.4544471564329259,1.0,before 2015,1.0,1.0,10238,,sedan,1,0,1,0.0
65,407453,40-64,female,majority,0-9y,university,upper class,0.6137409183819416,1.0,before 2015,0.0,0.0,10238.0,,sedan,0,0,0,0.0
66,367026,40-64,female,minority,10-19y,high school,working class,0.5326613280250595,1.0,before 2015,1.0,1.0,10238,11000.0,sedan,0,0,0,0.0
67,334687,40-64,female,minority,0-9y,university,middle class,0.4277285143019345,1.0,before 2015,0.0,0.0,10238,15000.0,sedan,0,0,0,1.0
68,623367,65+,male,majority,20-29y,university,upper class,0.6859457213719147,1.0,before 2015,1.0,1.0,32765,5000.0,sedan,4,1,4,0.0
69,688440,65+,male,majority,10-19y,university,upper class,0.6936124267187082,1.0,before 2015,1.0,1.0,10238,10000.0,sedan,2,0,0,0.0
70,547974,65+,male,majority,20-29y,high school,upper class,0.5979905963582334,0.0,before 2015,1.0,1.0,10238,12000.0,sedan,2,1,7,1.0
71,989064,26-39,male,majority,0-9y,none,poverty,0.3308186664986927,0.0,after 2015,1.0,1.0,10238,12000.0,sedan,0,0,0,1.0
72,422816,40-64,male,majority,20-29y,high school,working class,,1.0,before 2015,0.0,0.0,10238,12000.0,sedan,5,0,7,0.0
73,307408,26-39,female,minority,10-19y,none,working class,,1.0,before 2015,0.0,1.0,10238,9000.0,sedan,2,0,0,0.0
74,675898,16-25,male,majority,0-9y,high school,middle class,0.5083042183803546,1.0,before 2015,0.0,1.0,10238,16000.0,sedan,0,0,0,0.0
75,480452,26-39,female,majority,0-9y,university,upper class,0.7641329165005233,1.0,before 2015,1.0,1.0,10238,12000.0,sedan,0,0,0,0.0
76,93199,40-64,female,majority,0-9y,university,middle class,0.4775169603837716,1.0,,1.0,1.0,10238,14000.0,sedan,0,0,0,0.0
77,125802,40-64,female,majority,20-29y,university,upper class,0.6812332078486962,1.0,before 2015,1.0,1.0,10238.0,10000.0,sedan,0,0,1,0.0
78,616663,40-64,male,majority,0-9y,university,upper class,0.4671555457007022,1.0,after 2015,0.0,0.0,10238,16000.0,sedan,0,0,0,0.0
79,423497,16-25,female,majority,0-9y,high school,working class,0.3941632454999797,1.0,before 2015,0.0,0.0,10238,16000.0,sedan,0,0,0,1.0
80,492837,40-64,female,majority,10-19y,university,upper class,0.6610607322734078,1.0,after 2015,1.0,1.0,10238,14000.0,none,0,,0,0.0
81,422563,40-64,male,majority,20-29y,university,upper class,0.6651879748430346,0.0,before 2015,0.0,1.0,10238,14000.0,sedan,2,0,1,0.0
82,185231,16-25,female,majority,0-9y,high school,middle class,0.560770206632082,1.0,before 2015,0.0,1.0,10238,11000.0,sedan,0,0,0,none
83,949152,26-39,female,majority,10-19y,university,upper class,0.7454327103696547,0.0,after 2015,0.0,0.0,32765,9000.0,sedan,0,0,0,0.0
84,859453,26-39,male,majority,10-19y,university,middle class,0.53257435224505,1.0,before 2015,1.0,1.0,10238,13000.0,sedan,1,0,2,0.0
85,466578,26-39,female,majority,10-19y,high school,middle class,0.5267473391434415,1.0,after 2015,0.0,1.0,10238,14000.0,sedan,0,0,0,0.0
86,998214,16-25,female,minority,0-9y,none,poverty,0.4124517461654282,0.0,before 2015,0.0,0.0,10238,14000.0,sedan,0,0,0,1.0
87,828462,40-64,male,majority,20-29y,high school,working class,0.3871071449018297,0.0,before 2015,0.0,1.0,10238,16000.0,sedan,0,0,6,0.0
88,511837,65+,male,majority,10-19y,high school,middle class,0.5499938678343249,1.0,before 2015,1.0,1.0,32765,9000.0,sedan,3,1,1,0.0
89,554995,16-25,male,majority,0-9y,university,upper class,0.5853420947575604,1.0,before 2015,1.0,1.0,10238,12000.0,sports car,0,0,0,1.0
90,680717,65+,male,majority,30y+,none,middle class,0.5987396054343311,1.0,before 2015,1.0,1.0,10238.0,14000.0,sedan,6,1,3,0.0
91,978021,40-64,male,majority,20-29y,university,upper class,0.6026557000791793,1.0,after 2015,1.0,1.0,10238,7000.0,sedan,4,0,6,0.0
92,509815,26-39,female,majority,0-9y,high school,working class,0.5114570584803535,1.0,after 2015,1.0,1.0,32765,,sedan,0,0,0,0.0
93,6676,40-64,female,majority,20-29y,high school,upper class,0.5586591735288894,0.0,before 2015,0.0,1.0,10238,15000.0,sedan,3,0,2,0.0
94,362280,40-64,male,majority,10-19y,high school,working class,0.6284070137170304,0.0,before 2015,0.0,0.0,10238,13000.0,sedan,0,0,0,1.0
95,883018,40-64,male,,0-9y,high school,working class,0.5057903732571783,1.0,before 2015,0.0,1.0,10238.0,13000.0,sedan,0,0,0,0.0
96,889355,26-39,female,majority,10-19y,university,upper class,0.7268184180645275,1.0,before 2015,1.0,1.0,10238,15000.0,sedan,2,0,0,0.0
97,198273,65+,male,majority,20-29y,university,upper class,0.6904423335733175,1.0,after 2015,1.0,1.0,32765.0,9000.0,sedan,8,0,2,0.0
98,197763,40-64,male,majority,20-29y,university,upper class,0.4796771646619314,0.0,after 2015,,0.0,10238,14000.0,sedan,1,0,2,0.0
99,55670,26-39,male,majority,10-19y,university,upper class,,1.0,after 2015,1.0,1.0,10238,11000.0,sedan,3,1,0,0.0
100,545941,40-64,female,majority,20-29y,none,working class,0.4405592041968235,1.0,after 2015,1.0,1.0,10238,11000.0,sedan,1,0,2,0.0
101,814196,16-25,female,majority,0-9y,none,middle class,0.634052597196068,1.0,before 2015,0.0,1.0,32765,,sedan,0,0,0,1.0
102,560160,16-25,female,majority,0-9y,high school,poverty,0.4574695879943666,0.0,before 2015,0.0,0.0,10238,,sedan,0,0,0,0.0
103,320444,26-39,male,majority,0-9y,none,poverty,0.3086490182004943,0.0,before 2015,0.0,1.0,10238,14000.0,sedan,0,0,0,0.0
104,305793,16-25,male,majority,0-9y,high school,poverty,0.2458351852340737,0.0,before 2015,1.0,1.0,10238,11000.0,sedan,0,0,0,1.0
105,362190,16-25,male,majority,0-9y,high school,poverty,0.3056465190413162,0.0,before 2015,0.0,0.0,10238,14000.0,sedan,0,0,0,1.0
106,62647,26-39,male,majority,10-19y,high school,upper class,0.7440140862681482,1.0,before 2015,0.0,0.0,10238,13000.0,sedan,2,0,1,0.0
107,296948,40-64,male,majority,10-19y,university,upper class,0.6704645467899408,1.0,after 2015,1.0,1.0,10238,14000.0,sedan,0,0,0,0.0
108,673660,65+,female,majority,30y+,high school,upper class,0.6830407984824192,0.0,after 2015,1.0,1.0,10238.0,10000.0,sedan,4,1,3,0.0
109,945867,16-25,male,majority,0-9y,university,middle class,0.828628569053192,1.0,before 2015,0.0,0.0,10238,13000.0,sedan,0,0,0,1.0
110,391880,65+,male,majority,30y+,none,middle class,,1.0,before 2015,1.0,1.0,32765,10000.0,sedan,12,2,2,
111,241973,65+,female,majority,30y+,high school,upper class,0.6293380939717407,1.0,before 2015,1.0,0.0,10238,11000.0,sedan,2,0,2,0.0
112,429503,16-25,male,majority,0-9y,high school,poverty,0.28372421050714,0.0,before 2015,0.0,1.0,10238,15000.0,sedan,0,0,0,1.0
113,810013,16-25,male,majority,0-9y,university,working class,0.4576486815858435,1.0,after 2015,0.0,0.0,10238.0,14000.0,sports car,0,0,0,1.0
114,663458,16-25,female,majority,0-9y,high school,poverty,0.3049876423937953,0.0,before 2015,0.0,0.0,10238.0,15000.0,sedan,0,0,0,1.0
115,879976,16-25,male,majority,0-9y,high school,working class,0.5517442884135392,0.0,before 2015,1.0,1.0,32765,10000.0,sedan,0,0,0,1.0
116,418841,16-25,male,minority,0-9y,none,poverty,0.3186855562451054,1.0,before 2015,1.0,0.0,32765,9000.0,sedan,0,0,0,1.0
117,542236,26-39,male,minority,10-19y,none,working class,0.436944194154781,1.0,before 2015,0.0,0.0,10238,12000.0,sedan,3,0,0,0.0
118,937573,40-64,male,majority,10-19y,university,upper class,0.6291939843221722,1.0,before 2015,1.0,1.0,32765,7000.0,sedan,5,0,1,0.0
119,670850,16-25,male,majority,0-9y,university,working class,0.4055600158887265,1.0,before 2015,0.0,0.0,10238,17000.0,sedan,0,0,0,1.0
120,151252,16-25,male,majority,0-9y,university,middle class,0.6235462115803201,1.0,before 2015,1.0,0.0,10238,11000.0,sedan,0,0,0,0.0
121,706349,65+,male,majority,10-19y,university,upper class,0.7270329897821235,1.0,before 2015,1.0,1.0,10238,10000.0,sedan,1,1,2,0.0
122,602998,65+,male,majority,20-29y,none,working class,0.426828388879915,1.0,before 2015,1.0,0.0,10238,14000.0,sedan,3,1,7,0.0
123,242772,26-39,female,majority,10-19y,none,middle class,0.5036589704487734,1.0,before 2015,0.0,1.0,10238,10000.0,sedan,1,2,0,0.0
124,393449,26-39,female,majority,10-19y,high school,middle class,,0.0,before 2015,0.0,0.0,10238.0,12000.0,sedan,2,0,0,0.0
125,380740,65+,male,majority,30y+,university,upper class,0.7264400018455291,1.0,after 2015,1.0,1.0,10238,7000.0,sedan,2,0,3,0.0
126,938115,16-25,female,majority,0-9y,none,poverty,0.2444900931240796,0.0,before 2015,0.0,1.0,32765,nan,sedan,0,none,0,1.0
127,727943,16-25,male,majority,0-9y,university,middle class,0.5757707974509628,1.0,before 2015,0.0,0.0,10238,11000.0,sedan,0,0,0,1.0
128,766309,16-25,male,majority,0-9y,high school,poverty,,0.0,before 2015,0.0,0.0,10238,10000.0,sports car,0,0,0,1.0
129,261229,16-25,male,majority,0-9y,university,working class,0.468671965728324,1.0,after 2015,0.0,1.0,32765,9000.0,sedan,0,0,0,1.0
130,60866,65+,male,majority,20-29y,university,upper class,0.6970834558464781,0.0,after 2015,0.0,1.0,10238,13000.0,sedan,3,0,2,0.0
131,752797,40-64,female,majority,20-29y,high school,working class,0.5429181079423034,1.0,before 2015,0.0,0.0,10238,15000.0,sedan,1,1,0,0.0
132,45002,65+,male,majority,30y+,high school,upper class,0.6722562535141292,1.0,before 2015,1.0,1.0,10238,9000.0,sedan,4,1,2,0.0
133,482448,16-25,male,majority,0-9y,none,poverty,0.3864066185703315,0.0,before 2015,0.0,0.0,32765,8000.0,sedan,0,0,0,1.0
134,549142,16-25,male,majority,0-9y,university,middle class,0.5512978330713669,1.0,before 2015,1.0,1.0,10238,12000.0,sedan,0,0,0,1.0
135,95138,40-64,male,majority,20-29y,high school,middle class,0.5985570254244251,0.0,after 2015,1.0,0.0,10238,14000.0,sedan,4,1,4,0.0
136,851152,26-39,female,majority,10-19y,none,working class,,0.0,before 2015,1.0,1.0,10238,,sedan,0,0,1,0.0
137,615991,40-64,female,majority,20-29y,high school,upper class,0.5824219946087406,1.0,after 2015,1.0,1.0,10238,11000.0,sedan,2,0,1,0.0
138,424820,26-39,female,minority,10-19y,high school,middle class,0.540182723180248,1.0,before 2015,1.0,1.0,10238,,sedan,0,0,1,0.0
139,807847,65+,male,majority,20-29y,university,upper class,0.6330139475122963,1.0,after 2015,0.0,1.0,10238,14000.0,sedan,3,1,4,0.0
140,758983,40-64,male,majority,20-29y,high school,middle class,0.552204630296896,1.0,after 2015,1.0,0.0,32765,12000.0,sedan,6,0,3,0.0
141,987114,26-39,female,majority,0-9y,university,middle class,0.3266816101781183,0.0,before 2015,0.0,0.0,10238,16000.0,sedan,0,0,0,1.0
142,873457,40-64,male,minority,20-29y,high school,middle class,0.5880825424047316,1.0,before 2015,1.0,1.0,10238,13000.0,sedan,7,1,1,0.0
143,699703,65+,female,majority,0-9y,university,upper class,0.7022748020975709,0.0,before 2015,1.0,1.0,92101,10000.0,sedan,0,0,0,1.0
144,563342,65+,female,majority,0-9y,university,upper class,0.7266055391975765,1.0,before 2015,0.0,1.0,10238,13000.0,sedan,0,0,0,0.0
145,504412,26-39,male,majority,10-19y,university,working class,,0.0,before 2015,1.0,1.0,10238.0,12000.0,sedan,3,2,3,1.0
146,284106,65+,male,majority,30y+,university,upper class,0.73238212135242,1.0,before 2015,1.0,1.0,10238,12000.0,sedan,5,1,5,0.0
147,78189,16-25,female,majority,0-9y,none,poverty,0.2012839211827758,1.0,before 2015,0.0,0.0,32765.0,12000.0,sedan,0,0,0,1.0
148,427520,26-39,male,majority,10-19y,university,middle class,0.4641607076311848,0.0,before 2015,0.0,0.0,10238,16000.0,sedan,0,1,0,0.0
149,689030,40-64,female,majority,20-29y,university,upper class,0.6579677428053038,1.0,after 2015,1.0,0.0,92101,13000.0,sedan,1,0,1,0.0
150,966467,65+,male,majority,30y+,university,upper class,0.6002161554309658,1.0,before 2015,1.0,1.0,10238,13000.0,sedan,,2,4,0.0
151,288712,65+,male,majority,30y+,university,upper class,0.6663760181644964,1.0,after 2015,1.0,1.0,10238,12000.0,sedan,3,0,7,
152,228114,26-39,male,majority,0-9y,high school,working class,0.4031472802313768,1.0,before 2015,1.0,1.0,10238,10000.0,sedan,0,0,0,0.0
153,63715,65+,male,majority,20-29y,university,upper class,0.4169350441301069,1.0,before 2015,0.0,1.0,10238,13000.0,sedan,5,1,5,0.0
154,624077,65+,female,majority,30y+,none,upper class,0.5948797136778915,1.0,before 2015,1.0,1.0,32765,8000.0,sports car,10,0,1,0.0
155,726352,26-39,male,minority,10-19y,none,poverty,0.3804265034620669,none,before 2015,1.0,1.0,10238,16000.0,sedan,1,0,1,0.0
156,150072,16-25,female,majority,0-9y,none,poverty,,0.0,before 2015,0.0,0.0,21217,14000.0,sedan,0,0,0,1.0
157,792396,65+,female,majority,30y+,university,upper class,0.680617632406099,1.0,before 2015,1.0,none,10238,12000.0,sedan,1,2,2,0.0
158,768933,40-64,male,minority,0-9y,high school,working class,0.3559504699938693,1.0,before 2015,0.0,1.0,10238,16000.0,sedan,0,0,0,1.0
159,452356,40-64,female,majority,none,none,middle class,,1.0,before 2015,0.0,1.0,32765,10000.0,sedan,2,0,0,0.0
160,849811,65+,female,minority,30y+,high school,upper class,0.587831426389767,1.0,after 2015,1.0,0.0,32765,,none,3,0,1,0.0
161,579336,65+,female,majority,10-19y,university,upper class,0.5733880426029547,1.0,after 2015,1.0,1.0,10238,10000.0,sedan,0,0,2,0.0
162,648922,16-25,male,majority,0-9y,university,middle class,0.2964062828237805,1.0,before 2015,0.0,0.0,10238,13000.0,sedan,0,0,0,1.0
163,47909,65+,male,majority,10-19y,university,upper class,0.4295096986208441,1.0,before 2015,1.0,1.0,10238.0,10000.0,sedan,1,0,4,0.0
164,619577,65+,female,majority,30y+,university,upper class,0.6885687186194461,1.0,after 2015,0.0,1.0,92101,11000.0,sedan,2,0,0,0.0
165,212678,65+,female,majority,20-29y,university,upper class,0.700017431968704,1.0,after 2015,0.0,1.0,32765,13000.0,sedan,1,0,1,0.0
166,579720,26-39,male,majority,10-19y,university,working class,0.4495886310379405,0.0,before 2015,0.0,1.0,10238.0,,sports car,0,0,1,1.0
167,995884,40-64,female,majority,20-29y,university,upper class,0.6900455818778344,1.0,after 2015,1.0,0.0,10238,11000.0,sedan,2,1,1,0.0
168,226326,40-64,female,minority,10-19y,university,working class,0.4960298730510012,1.0,,0.0,0.0,10238,13000.0,sedan,0,0,1,0.0
169,943922,26-39,male,majority,10-19y,university,upper class,0.6563457625165399,0.0,after 2015,1.0,1.0,32765,6000.0,sedan,8,0,0,0.0
170,510116,40-64,male,majority,none,high school,middle class,0.4983566259941653,1.0,after 2015,0.0,1.0,10238,12000.0,sedan,0,0,0,0.0
171,536546,16-25,female,majority,0-9y,university,middle class,0.5463825431033477,1.0,before 2015,1.0,1.0,10238,12000.0,sedan,0,0,0,0.0
172,75592,40-64,female,majority,10-19y,high school,working class,0.3158628767091658,1.0,before 2015,0.0,1.0,10238,11000.0,sedan,0,0,1,0.0
173,487116,26-39,male,majority,10-19y,none,working class,0.5300643171181573,1.0,before 2015,0.0,0.0,10238,,sedan,1,0,2,1.0
174,936820,26-39,female,majority,10-19y,high school,working class,0.3578391720711443,1.0,before 2015,0.0,1.0,32765,12000.0,sedan,1,0,0,1.0
175,634050,65+,male,majority,10-19y,university,upper class,0.672756052841708,none,after 2015,1.0,1.0,10238,9000.0,sedan,1,0,2,0.0
176,307397,40-64,male,majority,20-29y,university,upper class,0.7419993760301162,1.0,after 2015,0.0,1.0,10238,,sedan,2,0,2,0.0
177,558748,65+,female,majority,30y+,,upper class,0.6226519789949738,1.0,after 2015,1.0,1.0,10238,11000.0,sedan,1,0,0,0.0
178,856630,16-25,female,majority,0-9y,high school,middle class,0.4801406677163008,0.0,after 2015,0.0,0.0,32765,14000.0,sedan,0,0,0,1.0
179,200009,65+,male,majority,30y+,university,upper class,0.6787954309829434,1.0,after 2015,1.0,1.0,10238.0,11000.0,none,5,1,3,0.0
180,784462,65+,male,majority,30y+,university,upper class,,1.0,none,1.0,1.0,32765,10000.0,sedan,13,1,6,0.0
181,792252,40-64,female,majority,20-29y,university,upper class,0.5152467080125883,1.0,after 2015,0.0,1.0,10238,12000.0,sedan,2,0,1,0.0
182,462586,26-39,male,majority,10-19y,none,working class,0.4899205986325767,1.0,before 2015,0.0,1.0,10238,13000.0,sedan,3,none,1,0.0
183,577965,65+,male,majority,30y+,high school,middle class,0.4219579486132668,1.0,before 2015,0.0,1.0,10238,11000.0,sedan,4,0,6,0.0
184,818248,40-64,male,majority,20-29y,university,upper class,0.5843548496662949,1.0,before 2015,0.0,0.0,10238,,sedan,1,0,2,0.0
185,491438,16-25,male,majority,0-9y,none,poverty,,0.0,before 2015,0.0,0.0,10238,9000.0,sedan,0,0,0,1.0
186,896587,65+,female,majority,30y+,high school,upper class,0.5581569698935803,1.0,after 2015,0.0,1.0,10238,14000.0,sedan,0,0,0,0.0
187,431538,16-25,male,majority,0-9y,high school,poverty,0.19414954837432,0.0,before 2015,1.0,0.0,10238,12000.0,sports car,0,0,0,1.0
188,164516,16-25,male,majority,0-9y,high school,poverty,0.300497330390378,0.0,before 2015,0.0,0.0,10238,13000.0,sedan,0,0,0,1.0
189,479577,40-64,female,majority,20-29y,university,upper class,0.6670906918498556,1.0,after 2015,1.0,1.0,10238,7000.0,sedan,4,0,0,0.0
190,395233,40-64,male,majority,0-9y,high school,upper class,0.6130724079074048,1.0,before 2015,1.0,0.0,10238,,sedan,0,0,0,1.0
