GenderSelect,Country,Age,EmploymentStatus,StudentStatus,CurrentJobTitleSelect,CurrentEmployerType,LanguageRecommendationSelect,LearningDataScienceTime,FormalEducation,MajorSelect,EmployerIndustry,EmployerSize,RemoteWork,CompensationAmount,CompensationCurrency,JobSatisfaction
Male,Japan,30.0,Employed full-time,,Business Analyst,Employed by a company that doesn't perform advanced analytics,,,Master's degree,Computer Science,Technology,Fewer than 10 employees,,,,1 - Highly Dissatisfied
Male,New Zealand,32.0,Employed full-time,,Scientist/Researcher,Employed by college or university,SAS,,Doctoral degree,,Academic,"1,000 to 4,999 employees",Sometimes,,,6
Male,India,30.0,"Not employed, but looking for work",,,,Python,1-2 years,Bachelor's degree,Computer Science,,,,,,
Female,Japan,37.0,Employed full-time,,,,,,,,,,,,,
Male,United States,63.0,Employed full-time,,Other,Employed by a company that doesn't perform advanced analytics,Python,,Master's degree,Electrical Engineering,Manufacturing,100 to 499 employees,Sometimes,,,7
Female,Taiwan,22.0,"Not employed, but looking for work",,,,R,1-2 years,Bachelor's degree,Mathematics or statistics,,,,,,
Male,Canada,40.0,"Not employed, but looking for work",,,,Python,< 1 year,Professional degree,,,,,,,
Male,Other,24.0,"Not employed, but looking for work",,,,Python,1-2 years,Master's degree,Computer Science,,,,,,
Male,United States,32.0,Employed full-time,,Researcher,Employed by professional services/consulting firm,Stata,,Master's degree,Mathematics or statistics,Government,500 to 999 employees,Rarely,,,9
Male,Canada,34.0,"Independent contractor, freelancer, or self-employed",,Other,Self-employed,Python,,Doctoral degree,Physics,Internet-based,,,,,10 - Highly Satisfied
Male,Iran,31.0,Employed part-time,,Scientist/Researcher,Employed by professional services/consulting firm,Python,,Doctoral degree,Computer Science,Technology,20 to 99 employees,Sometimes,15000,USD,6
Male,Singapore,24.0,Employed full-time,,Data Analyst,Employed by a company that doesn't perform advanced analytics,Python,,Bachelor's degree,Computer Science,Hospitality/Entertainment/Sports,"10,000 or more employees",Never,72000,,7
Male,India,54.0,"Independent contractor, freelancer, or self-employed",,Engineer,Self-employed,Python,< 1 year,Bachelor's degree,Engineering (non-computer focused),Mix of fields,,,,,
Male,Russia,59.0,Retired,,Other,Self-employed,Python,< 1 year,,,,,,,,
Male,India,29.0,Employed full-time,,Data Scientist,Employed by a company that performs advanced analytics,R,,Master's degree,Computer Science,Technology,"10,000 or more employees",Sometimes,120000,INR,7
Female,India,30.0,"Independent contractor, freelancer, or self-employed",,Statistician,Employed by professional services/consulting firm,R,,Master's degree,Mathematics or statistics,Technology,,Never,,,I prefer not to share
Male,France,25.0,Employed full-time,,Data Scientist,Employed by professional services/consulting firm,Python,,Master's degree,Mathematics or statistics,Financial,"1,000 to 4,999 employees",Sometimes,"100,000",EUR,8
Male,France,39.0,Employed full-time,,Data Scientist,Employed by a company that performs advanced analytics,Python,,Doctoral degree,A health science,Pharmaceutical,"10,000 or more employees",Rarely,,,7
Female,Germany,49.0,Employed part-time,,Scientist/Researcher,"Employed by company that makes advanced analytic software,Employed by college or university,Self-employed",Python,,Doctoral degree,Computer Science,Technology,"10,000 or more employees",,150000,,7
Male,United Kingdom,29.0,"Not employed, and not looking for work",No,,,Python,3-5 years,Doctoral degree,Physics,,,,,,
Female,Russia,25.0,Employed full-time,,,,,,,,,,,,,
Male,Spain,38.0,Employed full-time,,Data Scientist,Employed by professional services/consulting firm,R,,Doctoral degree,Computer Science,Mix of fields,10 to 19 employees,Sometimes,36000,EUR,5
Male,Germany,59.0,"Not employed, and not looking for work",No,,,R,15+ years,Doctoral degree,Mathematics or statistics,,,,,,
Male,United Kingdom,41.0,"Independent contractor, freelancer, or self-employed",,Engineer,Self-employed,Python,,Doctoral degree,Electrical Engineering,Military/Security,,,,,5
Male,United States,40.0,Employed full-time,,Scientist/Researcher,Employed by a company that doesn't perform advanced analytics,Python,,Doctoral degree,Physics,Technology,100 to 499 employees,Rarely,215000,USD,8
Male,Indonesia,23.0,"Not employed, but looking for work",,,,SQL,< 1 year,Bachelor's degree,Computer Science,,,,,,
Male,Israel,29.0,"Independent contractor, freelancer, or self-employed",,Data Scientist,Self-employed,Python,,Master's degree,Computer Science,Financial,,Most of the time,,,10 - Highly Satisfied
Male,Singapore,33.0,Employed full-time,,Data Scientist,Employed by government,Python,,Master's degree,Mathematics or statistics,Government,"1,000 to 4,999 employees",Rarely,,,7
Male,Germany,40.0,Employed full-time,,Software Developer/Software Engineer,Employed by a company that performs advanced analytics,,1-2 years,Master's degree,,Mix of fields,,,,,
Male,United States,25.0,Employed full-time,,Engineer,Employed by professional services/consulting firm,Python,,Master's degree,Engineering (non-computer focused),CRM/Marketing,"1,000 to 4,999 employees",,61000,HKD,6
Male,Germany,44.0,Employed full-time,,Other,Employed by a company that doesn't perform advanced analytics,Python,,Master's degree,A humanities discipline,Internet-based,500 to 999 employees,Rarely,65000,EUR,7
Male,Colombia,40.0,Employed full-time,,Machine Learning Engineer,Employed by a company that doesn't perform advanced analytics,Python,,Bachelor's degree,"Information technology, networking, or system administration",Insurance,"10,000 or more employees",Never,,,8
Male,Russia,37.0,Employed full-time,,Scientist/Researcher,Employed by company that makes advanced analytic software,R,,Professional degree,,Mix of fields,Fewer than 10 employees,Sometimes,,,10 - Highly Satisfied
Male,United States,47.0,"Not employed, and not looking for work",No,,,Python,1-2 years,Bachelor's degree,Computer Science,,,,,,
Male,India,23.0,"Not employed, and not looking for work",Yes,,,Python,< 1 year,Bachelor's degree,Electrical Engineering,,,,,,
Female,United States,31.0,Employed full-time,,Scientist/Researcher,Employed by college or university,R,,Doctoral degree,Engineering (non-computer focused),Academic,500 to 999 employees,Sometimes,83500,USD,7
Female,United States,,Employed full-time,,Other,Employed by non-profit or NGO,Other,,Master's degree,Other,Government,"1,000 to 4,999 employees",,,,7
Male,Brazil,32.0,Employed full-time,,,,,,,,,,,,,
Female,United States,39.0,Employed full-time,,Predictive Modeler,Employed by a company that performs advanced analytics,R,,Master's degree,Engineering (non-computer focused),Insurance,"10,000 or more employees",Sometimes,115000,USD,10 - Highly Satisfied
Male,United States,44.0,Employed full-time,,,,,,,,,,,,,
Male,Other,22.0,Employed full-time,,,,,,,,,,,,,
Male,France,21.0,Employed part-time,,,,,,,,,,,,,
Male,Other,21.0,"Not employed, but looking for work",,,,R,< 1 year,,Mathematics or statistics,,,,,,
Male,Germany,24.0,"Not employed, but looking for work",,,,Python,< 1 year,Some college/university study without earning a bachelor's degree,Computer Science,,,,,,
Male,Canada,35.0,Employed full-time,,Scientist/Researcher,Employed by college or university,Python,,Doctoral degree,A health science,Academic,"5,000 to 9,999 employees",Sometimes,,,10 - Highly Satisfied
Male,India,36.0,Employed full-time,,DBA/Database Engineer,Employed by professional services/consulting firm,,< 1 year,Bachelor's degree,Electrical Engineering,Technology,,,,,
Male,Egypt,24.0,"Not employed, but looking for work",,,,Python,1-2 years,Bachelor's degree,"Information technology, networking, or system administration",,,,,,
Male,Colombia,47.0,Employed full-time,,Data Scientist,Employed by college or university,R,1-2 years,Master's degree,Mathematics or statistics,Academic,,,,,
Male,Hungary,40.0,Employed full-time,,Researcher,Employed by college or university,R,,Doctoral degree,A social science,Academic,100 to 499 employees,Most of the time,4000000,HUF,8
Female,United States,30.0,Employed full-time,,Business Analyst,Employed by a company that doesn't perform advanced analytics,Python,,Bachelor's degree,,CRM/Marketing,100 to 499 employees,Rarely,80000,USD,10 - Highly Satisfied
Male,Russia,24.0,"Not employed, and not looking for work",Yes,,,R,1-2 years,Bachelor's degree,A social science,,,,,,
Male,India,27.0,Employed full-time,,Software Developer/Software Engineer,Employed by professional services/consulting firm,R,< 1 year,Bachelor's degree,"Information technology, networking, or system administration",Other,,,,,
Male,India,22.0,"Not employed, and not looking for work",Yes,,,R,3-5 years,Bachelor's degree,Electrical Engineering,,,,,,
Male,India,19.0,I prefer not to say,Yes,,,C/C++/C#,< 1 year,I did not complete any formal education past high school,,,,,,,
Male,India,21.0,"Not employed, but looking for work",,,,Python,< 1 year,Bachelor's degree,"Information technology, networking, or system administration",,,,,,
Male,United States,50.0,Employed full-time,,Predictive Modeler,Employed by professional services/consulting firm,R,,Doctoral degree,Mathematics or statistics,Insurance,500 to 999 employees,Rarely,135000,USD,8
Female,United States,36.0,"Not employed, but looking for work",,,,R,< 1 year,Master's degree,Engineering (non-computer focused),,,,,,
Male,France,36.0,Employed full-time,,Software Developer/Software Engineer,Employed by a company that doesn't perform advanced analytics,Python,< 1 year,Master's degree,Computer Science,Manufacturing,,,,,
Male,United States,23.0,"Not employed, but looking for work",,,,Python,< 1 year,Master's degree,Computer Science,,,,,,
Male,United States,59.0,"Independent contractor, freelancer, or self-employed",,Data Scientist,Employed by a company that performs advanced analytics,Python,,Master's degree,Physics,Other,,Most of the time,75000,USD,8
Female,Brazil,27.0,Employed full-time,,Other,Employed by college or university,Python,< 1 year,Bachelor's degree,Other,Technology,,,,,
Female,United States,27.0,Employed part-time,,Data Analyst,Employed by a company that performs advanced analytics,Stata,,Master's degree,,Internet-based,Fewer than 10 employees,Always,,,5
Male,Canada,34.0,"Not employed, but looking for work",,,,Python,3-5 years,Master's degree,Electrical Engineering,,,,,,
Male,Argentina,25.0,Employed full-time,,Machine Learning Engineer,Employed by a company that performs advanced analytics,Python,< 1 year,Master's degree,Engineering (non-computer focused),Technology,,,,,
Male,United States,68.0,Employed full-time,,Engineer,Employed by a company that doesn't perform advanced analytics,Python,,Master's degree,Electrical Engineering,Manufacturing,100 to 499 employees,Sometimes,190000,,3
Female,Germany,25.0,"Not employed, but looking for work",,,,R,1-2 years,Master's degree,Management information systems,,,,,,
Male,United States,28.0,"Not employed, but looking for work",,,,Python,< 1 year,Bachelor's degree,,,,,,,
Male,India,27.0,"Not employed, but looking for work",,,,Python,< 1 year,Master's degree,Computer Science,,,,,,
Male,India,25.0,Employed full-time,,Data Analyst,Employed by a company that performs advanced analytics,Java,,Bachelor's degree,Computer Science,Retail,"5,000 to 9,999 employees",Sometimes,,,5
Male,United States,50.0,Employed full-time,,,,,,,,,,,,,
Male,Spain,34.0,Employed full-time,,Software Developer/Software Engineer,Employed by a company that performs advanced analytics,Python,,Professional degree,,Internet-based,10 to 19 employees,Sometimes,80000,EUR,5
Male,India,22.0,"Not employed, but looking for work",,,,Python,< 1 year,Bachelor's degree,Computer Science,,,,,,
Female,United States,20.0,Employed part-time,,Researcher,Employed by non-profit or NGO,Java,< 1 year,Some college/university study without earning a bachelor's degree,Biology,Non-profit,,,,,
Male,United Kingdom,16.0,"Not employed, and not looking for work",No,,,Python,< 1 year,I did not complete any formal education past high school,,,,,,,
Male,Turkey,20.0,"Not employed, but looking for work",,,,Python,< 1 year,Bachelor's degree,Computer Science,,,,,,
Female,United States,29.0,Employed full-time,,Data Analyst,Employed by a company that performs advanced analytics,,,Master's degree,A social science,Technology,"5,000 to 9,999 employees",Rarely,,,9
Male,Brazil,25.0,Employed full-time,,Computer Scientist,Employed by college or university,Python,,Master's degree,Computer Science,Academic,I don't know,Rarely,1500,BRL,10 - Highly Satisfied
Male,Canada,42.0,Employed full-time,,Data Scientist,Employed by a company that performs advanced analytics,Python,1-2 years,Master's degree,Physics,Retail,,,,,
A different identity,India,24.0,"Not employed, but looking for work",,,,R,< 1 year,Master's degree,Computer Science,,,,,,
Male,Brazil,32.0,Employed full-time,,Scientist/Researcher,Employed by college or university,Python,,Master's degree,Computer Science,Academic,100 to 499 employees,Sometimes,25000,BRL,10 - Highly Satisfied
Male,India,22.0,"Independent contractor, freelancer, or self-employed",,Data Scientist,,Python,,Bachelor's degree,Computer Science,Academic,,Sometimes,,,10 - Highly Satisfied
Male,Hungary,38.0,Employed full-time,,Researcher,Employed by company that makes advanced analytic software,Python,,Bachelor's degree,Computer Science,Technology,20 to 99 employees,Sometimes,372000,HUF,2
Male,United States,25.0,Employed full-time,,Business Analyst,Employed by a company that doesn't perform advanced analytics,R,,Master's degree,Engineering (non-computer focused),Retail,100 to 499 employees,,45000,,4
Male,Other,28.0,"Independent contractor, freelancer, or self-employed",,Data Scientist,Self-employed,Python,,Bachelor's degree,Physics,Internet-based,,Always,10000,USD,10 - Highly Satisfied
Male,Brazil,38.0,Employed full-time,,Programmer,Employed by professional services/consulting firm,Python,,Bachelor's degree,"Information technology, networking, or system administration",Technology,20 to 99 employees,Sometimes,60000,BRL,6
Male,India,21.0,"Not employed, and not looking for work",No,,,Python,< 1 year,Bachelor's degree,Computer Science,,,,,,
Male,Russia,31.0,"Independent contractor, freelancer, or self-employed",,Business Analyst,Self-employed,R,,Some college/university study without earning a bachelor's degree,Computer Science,CRM/Marketing,,Always,840000,RUB,5
Male,United States,60.0,Employed full-time,,Other,Employed by a company that performs advanced analytics,Python,,Bachelor's degree,Physics,Financial,10 to 19 employees,Most of the time,,,5
Female,United States,30.0,"Not employed, but looking for work",,,,Python,< 1 year,Master's degree,Engineering (non-computer focused),,,,,,
Male,United States,31.0,Employed full-time,,Business Analyst,Employed by professional services/consulting firm,R,< 1 year,Bachelor's degree,Computer Science,Insurance,,,,,
Male,Russia,35.0,Employed full-time,,,,,,,,,,,,,
Male,United States,35.0,Employed full-time,,Engineer,Employed by a company that doesn't perform advanced analytics,Python,< 1 year,Master's degree,Electrical Engineering,Manufacturing,,,,,
Male,India,21.0,I prefer not to say,Yes,,,Python,< 1 year,Bachelor's degree,A health science,,,,,,
Male,United States,20.0,Employed full-time,,Scientist/Researcher,Employed by college or university,Python,1-2 years,Some college/university study without earning a bachelor's degree,Engineering (non-computer focused),Academic,,,,,
Female,United Kingdom,31.0,Employed full-time,,Data Analyst,Employed by a company that doesn't perform advanced analytics,SQL,,Doctoral degree,A social science,Government,"1,000 to 4,999 employees",Never,29000,GBP,7
Male,United States,27.0,"Independent contractor, freelancer, or self-employed",,Data Scientist,Self-employed,Python,,Some college/university study without earning a bachelor's degree,A social science,Financial,,Always,80000,,7
Male,United States,58.0,"Not employed, but looking for work",,,,Python,< 1 year,Master's degree,A health science,,,,,,
Male,India,20.0,"Not employed, but looking for work",,,,Java,< 1 year,Bachelor's degree,Computer Science,,,,,,
Female,India,30.0,"Not employed, but looking for work",,,,R,< 1 year,Bachelor's degree,Electrical Engineering,,,,,,
Male,India,24.0,Employed full-time,,,,,,,,,,,,,
A different identity,Argentina,21.0,Employed part-time,,Business Analyst,Employed by professional services/consulting firm,Python,< 1 year,I did not complete any formal education past high school,,Technology,,,,,
Male,Ukraine,18.0,"Not employed, but looking for work",,,,Python,< 1 year,I did not complete any formal education past high school,,,,,,,
Male,Brazil,22.0,Employed full-time,,Programmer,Employed by a company that doesn't perform advanced analytics,R,< 1 year,Professional degree,,CRM/Marketing,,,,,
Male,Russia,24.0,"Not employed, but looking for work",,,,Python,< 1 year,Master's degree,"Information technology, networking, or system administration",,,,,,
Male,Italy,25.0,"Not employed, but looking for work",,,,Python,< 1 year,Bachelor's degree,Computer Science,,,,,,
Male,Greece,29.0,"Not employed, but looking for work",,,,R,3-5 years,Master's degree,Mathematics or statistics,,,,,,
Male,Spain,39.0,Employed full-time,,Other,Employed by a company that doesn't perform advanced analytics,Python,,Master's degree,Engineering (non-computer focused),Telecommunications,500 to 999 employees,Sometimes,,,6
Male,United Kingdom,30.0,Employed full-time,,Data Analyst,Employed by company that makes advanced analytic software,SQL,,Bachelor's degree,A social science,Technology,"10,000 or more employees",,45000,GBP,7
Male,India,26.0,"Independent contractor, freelancer, or self-employed",,Programmer,Self-employed,Python,< 1 year,Bachelor's degree,,Technology,,,,,
A different identity,France,0.0,Employed full-time,,Software Developer/Software Engineer,,Python,< 1 year,Doctoral degree,Physics,Technology,,,,,
Male,United States,24.0,"Not employed, but looking for work",,,,Matlab,< 1 year,Master's degree,Electrical Engineering,,,,,,
Male,United States,27.0,"Not employed, but looking for work",,,,R,1-2 years,Master's degree,"Information technology, networking, or system administration",,,,,,
Male,United States,49.0,Employed full-time,,DBA/Database Engineer,Employed by a company that doesn't perform advanced analytics,Other,,I did not complete any formal education past high school,,Financial,500 to 999 employees,Always,"85,000",USD,8
Male,United States,29.0,"Not employed, but looking for work",,,,Python,1-2 years,Master's degree,Computer Science,,,,,,
Male,Spain,37.0,"Independent contractor, freelancer, or self-employed",,Data Scientist,Employed by college or university,Python,,Master's degree,Electrical Engineering,Academic,,Most of the time,12000,EUR,I prefer not to share
Male,United States,62.0,"Independent contractor, freelancer, or self-employed",,Programmer,Self-employed,Python,,Master's degree,Other,Non-profit,,Always,"65,000",USD,5
Male,Russia,36.0,Employed full-time,,Software Developer/Software Engineer,Employed by professional services/consulting firm,Python,< 1 year,Professional degree,,Financial,,,,,
Female,United States,21.0,Employed part-time,,Other,Employed by a company that doesn't perform advanced analytics,R,< 1 year,Some college/university study without earning a bachelor's degree,Mathematics or statistics,Retail,,,,,
Male,United States,25.0,"Not employed, but looking for work",,,,Stata,3-5 years,Master's degree,Other,,,,,,
Male,United States,25.0,"Not employed, but looking for work",,,,R,1-2 years,Master's degree,Mathematics or statistics,,,,,,
Male,Poland,58.0,"Independent contractor, freelancer, or self-employed",,DBA/Database Engineer,Employed by a company that doesn't perform advanced analytics,R,,Master's degree,,Financial,,Sometimes,"3,000",PLN,2
Male,France,20.0,"Not employed, but looking for work",,,,Python,< 1 year,Some college/university study without earning a bachelor's degree,Computer Science,,,,,,
Female,Sweden,24.0,"Not employed, but looking for work",,,,R,3-5 years,Master's degree,Mathematics or statistics,,,,,,
Male,India,21.0,"Not employed, and not looking for work",Yes,,,C/C++/C#,< 1 year,Bachelor's degree,Computer Science,,,,,,
Male,United States,38.0,"Independent contractor, freelancer, or self-employed",,Data Scientist,Employed by company that makes advanced analytic software,Python,,Doctoral degree,Biology,Internet-based,,Rarely,"130,000",USD,4
Male,United States,47.0,Employed full-time,,Researcher,Employed by college or university,Julia,,Doctoral degree,Mathematics or statistics,Academic,"5,000 to 9,999 employees",,,,10 - Highly Satisfied
Male,United States,27.0,"Not employed, but looking for work",,,,Python,1-2 years,Master's degree,Computer Science,,,,,,
Male,United States,27.0,Employed full-time,,Other,Employed by professional services/consulting firm,SQL,,Bachelor's degree,,Other,"1,000 to 4,999 employees",Sometimes,55000,USD,8
Male,France,26.0,Employed full-time,,Scientist/Researcher,Employed by government,R,,Master's degree,A health science,Government,500 to 999 employees,Don't know,25000,EUR,10 - Highly Satisfied
Male,Brazil,21.0,"Not employed, and not looking for work",Yes,,,Matlab,< 1 year,Some college/university study without earning a bachelor's degree,Electrical Engineering,,,,,,
A different identity,Canada,23.0,Employed full-time,,Scientist/Researcher,Employed by college or university,Python,,Bachelor's degree,Electrical Engineering,Academic,"1,000 to 4,999 employees",Rarely,85000,USD,8
Male,United States,19.0,Employed part-time,,Other,Employed by a company that doesn't perform advanced analytics,Python,1-2 years,Some college/university study without earning a bachelor's degree,Computer Science,Manufacturing,,,,,
Male,India,23.0,Employed full-time,,Engineer,"Employed by professional services/consulting firm,Self-employed",Python,,Master's degree,Computer Science,Technology,Fewer than 10 employees,Rarely,360000,INR,10 - Highly Satisfied
Male,United States,53.0,Employed full-time,,,,,,,,,,,,,
Female,Poland,23.0,Employed part-time,,Data Scientist,Employed by professional services/consulting firm,SAS,,Bachelor's degree,Mathematics or statistics,Financial,"5,000 to 9,999 employees",Never,"20,000",PLN,4
Female,Canada,19.0,"Not employed, and not looking for work",Yes,,,Python,< 1 year,Some college/university study without earning a bachelor's degree,Computer Science,,,,,,
Female,United States,31.0,Employed full-time,,Scientist/Researcher,Employed by company that makes advanced analytic software,Python,,Master's degree,Other,Insurance,20 to 99 employees,Sometimes,"92,000",USD,6
Male,South Africa,24.0,"Not employed, but looking for work",,,,SAS,< 1 year,Bachelor's degree,Other,,,,,,
